Date,SN,Open,High,Low,Close,Adj Close,Volume,live,KI,KO,accumulation,BQty,BAt,BWhen,SQty,SAt,SWhen,BCF,SCF,CumQty,CumCF
2022-08-23,58,116.690002,117.290001,115.379997,115.519997,112.771042,7607000,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-08-24,59,115.290001,116.410004,114.449997,115.800003,113.044388,9771300,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-08-25,60,116.160004,118.739998,115.68,118.550003,115.728943,10758900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-08-26,61,119.459999,119.989998,114.599998,114.669998,111.941269,11276200,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-08-29,62,114.0,114.860001,113.459999,114.389999,111.667931,8117300,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-08-30,63,115.0,115.580002,113.360001,114.410004,111.687469,10745400,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-08-31,64,114.480003,115.029999,113.339996,113.730003,111.023651,10738300,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-01,65,113.290001,114.629997,111.910004,114.510002,111.785088,9979800,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-02,66,115.870003,117.449997,113.190002,113.709999,111.00412,10666600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-06,67,114.330002,114.75,112.07,113.739998,111.033409,9751900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-07,68,113.129997,116.110001,112.760002,115.900002,113.142006,10647900,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-08,69,115.279999,118.790001,114.629997,118.599998,115.777756,11435000,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-09,70,119.139999,120.050003,118.669998,119.169998,116.334183,9299700,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-12,71,120.620003,121.550003,119.790001,120.580002,117.71064,8614600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-13,72,118.07,118.919998,115.779999,116.389999,113.620346,12904600,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-14,73,116.699997,117.839996,114.879997,116.120003,113.356773,9345700,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-15,74,116.120003,119.379997,115.760002,117.870003,115.065132,10821400,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-16,75,117.389999,117.400002,115.370003,117.080002,114.29393,14844100,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-19,76,116.0,118.730003,115.510002,118.160004,115.348228,8201300,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-20,77,117.410004,117.690002,114.639999,115.830002,113.073669,9619000,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-21,78,116.540001,116.599998,112.419998,112.489998,109.813148,12606300,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
2022-09-22,79,113.379997,113.599998,111.07,111.209999,108.563614,11684500,True,False,False,False,False,False,False,False,False,False,False,False,0,0.0
